Prompt,GPT_Output
Provide the houses without using conjunctions.,"Sure! Here are the houses:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin"
Provide the houses separated by the word 'and'.,"Sure! Please provide the names of the houses you'd like me to separate with ""and."""
Provide the houses separated by hyphens.,"Sure! Here are the houses of Hogwarts from the Harry Potter series, separated by hyphens:

Gryffindor - Hufflepuff - Ravenclaw - Slytherin"
Provide the houses separated by colons.,"Sure! Here are the houses separated by colons:

Gryffindor: Hufflepuff: Ravenclaw: Slytherin"
Return the answer strictly in JSON format.,Sure! Please provide the question or data you would like me to respond to in JSON format.
Return the answer strictly in plain text.,Understood. Please provide your question or request.
Provide the houses as a CSV line.,"Sure! Here’s a CSV line representing the houses in a typical context, such as the houses from ""Game of Thrones"":

```
House Stark, House Lannister, House Targaryen, House Baratheon, House Greyjoy, House Martell, House Tyrell, House Tully
```

If you meant something different by ""houses,"" please provide more context!"
Provide the houses as a markdown list.,"Sure! Here’s a markdown list of the houses from the Harry Potter series:

- **Gryffindor**
- **Hufflepuff**
- **Ravenclaw**
- **Slytherin**"
Provide the houses as a table with one column.,"Sure! Here’s a table with one column listing the houses from the Harry Potter series:

| Houses         |
|----------------|
| Gryffindor     |
| Hufflepuff     |
| Ravenclaw      |
| Slytherin      |"
Provide the houses as a table with two columns.,"Sure! Here’s a simple table format with two columns for houses. Since you didn't specify which houses you are referring to, I'll create a generic example of houses in a neighborhood:

| House Number | Owner Name   |
|--------------|--------------|
| 1            | John Smith   |
| 2            | Jane Doe     |
| 3            | Emily Johnson |
| 4            | Michael Brown |
| 5            | Sarah Davis   |

If you meant a different type of houses (like in a specific context such as Harry Potter houses, types of houses, etc.), please let me know!"
Provide the houses with numbering starting from 0.,"Sure! Here’s a simple list of houses numbered starting from 0:

- House 0
- House 1
- House 2
- House 3
- House 4
- House 5
- House 6
- House 7
- House 8
- House 9

If you need a specific number of houses or a different format, please let me know!"
Provide the houses with numbering starting from 1.,"Sure! Here’s a simple list of houses numbered from 1:

1. House 1
2. House 2
3. House 3
4. House 4
5. House 5
6. House 6
7. House 7
8. House 8
9. House 9
10. House 10

If you need a different format or more houses, please let me know!"
Provide the houses without punctuation.,"Sure! Here are the houses without punctuation:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin"
Provide the houses without repeating any word.,"Sure! Here are some types of houses without repeating any words:

1. Bungalow
2. Cottage
3. Villa
4. Mansion
5. Townhouse
6. Apartment
7. Chalet
8. Duplex
9. Ranch
10. Cabin

Let me know if you need more information!"
Provide the houses sorted in descending alphabetical order.,"Sure! Here are the houses sorted in descending alphabetical order:

1. Targaryen
2. Stark
3. Lannister
4. Greyjoy
5. Baratheon
6. Arryn
7. Tyrell
8. Martell

If you meant a different context or specific houses, please let me know!"
Provide the houses sorted in ascending alphabetical order.,"Sure! Here are the houses from the ""Harry Potter"" series sorted in ascending alphabetical order:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin

If you meant a different context or set of houses, please provide more details!"
Provide the houses grouped by first letter.,"Sure! Here’s a list of some well-known houses from various contexts (like literature, film, and history) grouped by their first letter:

### A
- Arryn (House Arryn from ""A Song of Ice and Fire"")
- Atreides (House Atreides from ""Dune"")

### B
- Baratheon (House Baratheon from ""A Song of Ice and Fire"")
- Baggins (The Baggins family from ""The Lord of the Rings"")

### C
- Stark (House Stark from ""A Song of Ice and Fire"")
- Casterly (House Casterly from ""A Song of Ice and Fire"")

### D
- Dursley (The Dursley family from ""Harry Potter"")
- Drago (House Drago from ""Game of Thrones"")

### E
- Elrond (House of Elrond from ""The Lord of the Rings"")

### F
- Frey (House Frey from ""A Song of Ice and Fire"")

### G
- Greyjoy (House Greyjoy from ""A Song of Ice and Fire"")

### H
- Hufflepuff (House Hufflepuff from ""Harry Potter"")

### L
- Lannister (House Lannister from ""A Song of Ice and Fire"")
- Longbottom (The Longbottom family from ""Harry Potter"")

### M
- Malfoy (House Malfoy from ""Harry Potter"")
- Mormont (House Mormont from ""A Song of Ice and Fire"")

### R
- Ravenclaw (House Ravenclaw from ""Harry Potter"")
- Targaryen (House Targaryen from ""A Song of Ice and Fire"")

### T
- Tully (House Tully from ""A Song of Ice and Fire"")

### W
- Weasley (The Weasley family from ""Harry Potter"")
- Wessex (House Wessex from historical context)

This is just a small selection, and there are many more houses in various fictional universes and historical contexts. If you have a specific context in mind, please let me know!"
Provide the houses grouped by length.,"To group houses by length, we can categorize them based on the number of characters in their names. Here’s a simple breakdown:

### 3 Letters
- **Eve**
- **Tom**
- **Max**

### 4 Letters
- **Bach**
- **Cove**
- **Lake**

### 5 Letters
- **House**
- **Mansion**
- **Villa**

### 6 Letters
- **Cottage**
- **Bungalow**
- **Palace**

### 7 Letters
- **Chalet**
- **Rancher**
- **Duplex**

### 8 Letters
- **Townhouse**
- **Farmhouse**
- **Condo**

### 9 Letters and Above
- **Skyscraper**
- **Penthouse**
- **Castle**

If you have specific house names or types in mind, please provide them, and I can categorize those accordingly!"
Provide the houses in reverse listing order.,"Sure! However, I need to clarify which houses you are referring to. Are you asking about the houses from a specific series, such as ""Game of Thrones,"" ""Harry Potter,"" or something else? Please provide more details so I can assist you accurately!"
Provide the houses in sentence form separated by commas.,Sure! Please provide the names of the houses you'd like me to list in sentence form.
Provide the houses in all caps separated by spaces.,"Sure! Here are the houses in all caps:

GRYFFINDOR HUFFLEPUFF RAVENCLAW SLYTHERIN"
Provide the houses in lowercase separated by commas.,"sure! here are the houses in lowercase: gryffindor, hufflepuff, ravenclaw, slytherin."
Provide the houses in camelCase.,"Sure! Here are the names of the houses in camelCase:

1. gryffindor
2. hufflepuff
3. ravenclaw
4. slytherin

In camelCase, they would be:

1. gryffindor
2. hufflepuff
3. ravenclaw
4. slytherin

If you meant something else or need further assistance, please let me know!"
Provide the houses in snake_case.,"Sure! Here are the names of the houses in snake_case:

1. house_stark
2. house_lannister
3. house_targaryen
4. house_baratheon
5. house_tully
6. house_arryn
7. house_tyrell
8. house_martell
9. house_tully
10. house_frey

If you need more specific information or additional houses, feel free to ask!"
Provide the houses in kebab-case.,"Sure! Here are the names of the houses in kebab-case:

- gryffindor
- hufflepuff
- ravenclaw
- slytherin

If you need anything else, feel free to ask!"
Provide the houses enclosed in curly braces.,"It seems like you might be referring to a specific context or data set that includes houses enclosed in curly braces. However, I don't have access to external data or documents. If you provide me with the specific text or context, I can help you identify or extract the houses enclosed in curly braces. Please share more details!"
Provide the houses enclosed in angle brackets.,"It seems like you might be referring to a specific text or context that includes houses enclosed in angle brackets. However, I don't have access to external documents or specific texts unless you provide them. If you can share the text or clarify what you're looking for, I'd be happy to help!"
Provide the houses as an HTML list.,"Sure! Here’s an example of how you can represent houses as an HTML list:

```html
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Houses List</title>
</head>
<body>
    <h1>List of Houses</h1>
    <ul>
        <li>House Stark</li>
        <li>House Lannister</li>
        <li>House Targaryen</li>
        <li>House Baratheon</li>
        <li>House Greyjoy</li>
        <li>House Martell</li>
        <li>House Tyrell</li>
        <li>House Arryn</li>
    </ul>
</body>
</html>
```

You can copy and paste this code into an HTML file and open it in a web browser to see the list of houses displayed. If you have specific houses in mind or need a different format, let me know!"
Provide the houses as a JSON object with key 'houses'.,"Sure! Here is a JSON object with the key ""houses"":

```json
{
  ""houses"": [
    {
      ""name"": ""Gryffindor"",
      ""traits"": [""bravery"", ""courage"", ""chivalry""],
      ""colors"": [""scarlet"", ""gold""],
      ""mascot"": ""lion""
    },
    {
      ""name"": ""Hufflepuff"",
      ""traits"": [""hard work"", ""patience"", ""loyalty""],
      ""colors"": [""yellow"", ""black""],
      ""mascot"": ""badger""
    },
    {
      ""name"": ""Ravenclaw"",
      ""traits"": [""intelligence"", ""creativity"", ""wisdom""],
      ""colors"": [""blue"", ""bronze""],
      ""mascot"": ""eagle""
    },
    {
      ""name"": ""Slytherin"",
      ""traits"": [""ambition"", ""cunning"", ""resourcefulness""],
      ""colors"": [""green"", ""silver""],
      ""mascot"": ""serpent""
    }
  ]
}
```

Feel free to modify the content as needed!"
Provide the houses without explanation and without formatting.,"Gryffindor  
Hufflepuff  
Ravenclaw  
Slytherin"
"Provide only the names, nothing else.",Sure! Please provide the context or list of names you would like.
Provide only four words corresponding to the houses.,"1. Aries: Initiative  
2. Cancer: Nurturing  
3. Libra: Balance  
4. Capricorn: Ambition  "
Provide the houses in alphabetical order separated by semicolons.,"Sure! Here are the houses in alphabetical order:

Gryffindor; Hufflepuff; Ravenclaw; Slytherin"
Provide the houses in reverse alphabetical order separated by commas.,"Sure! Here are the houses in reverse alphabetical order:

- Targaryen, Stark, Lannister, Greyjoy, Baratheon, Arryn, Tyrell, Martell, Tully, Frey. 

If you need a specific list or context, please let me know!"
Provide the houses sorted by number of letters ascending.,"Sure! Here are the houses from ""Game of Thrones"" sorted by the number of letters in their names, in ascending order:

1. **Arryn** (5)
2. **Greyjoy** (7)
3. **Lannister** (8)
4. **Targaryen** (9)
5. **Martell** (7)
6. **Tyrell** (6)
7. **Stark** (5)
8. **Tully** (5)

If you need further information or a different sorting, let me know!"
Provide the houses sorted by number of letters descending.,"Sure! Here are the houses from ""Game of Thrones"" sorted by the number of letters in their names, in descending order:

1. Targaryen (9 letters)
2. Baratheon (9 letters)
3. Greyjoy (7 letters)
4. Martell (7 letters)
5. Arryn (5 letters)
6. Stark (5 letters)
7. Tyrell (6 letters)
8. Tully (5 letters)

If you need any more information or a different sorting, feel free to ask!"
Provide the houses as a single paragraph.,"The four houses of Hogwarts School of Witchcraft and Wizardry are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Gryffindor, founded by Godric Gryffindor, values bravery, courage, and chivalry, symbolized by a lion and represented by the colors scarlet and gold. Hufflepuff, established by Helga Hufflepuff, is known for its emphasis on hard work, loyalty, and fair play, with a badger as its emblem and yellow and black as its colors. Ravenclaw, created by Rowena Ravenclaw, prizes intelligence, creativity, and wisdom, represented by an eagle and adorned in blue and bronze. Lastly, Slytherin, founded by Salazar Slytherin, values ambition, cunning, and resourcefulness, symbolized by a serpent and characterized by green and silver colors. Each house has its own unique traits and values, contributing to the rich tapestry of Hogwarts' community."
Provide the houses as four separate bullet points.,"Sure! Here are the four houses:

- Gryffindor
- Hufflepuff
- Ravenclaw
- Slytherin"
Provide the houses in lowercase JSON format.,"Sure! Here is an example of houses represented in lowercase JSON format:

```json
{
  ""houses"": [
    {
      ""name"": ""gryffindor"",
      ""colors"": [""scarlet"", ""gold""],
      ""mascot"": ""lion""
    },
    {
      ""name"": ""hufflepuff"",
      ""colors"": [""yellow"", ""black""],
      ""mascot"": ""badger""
    },
    {
      ""name"": ""ravenclaw"",
      ""colors"": [""blue"", ""bronze""],
      ""mascot"": ""eagle""
    },
    {
      ""name"": ""slytherin"",
      ""colors"": [""green"", ""silver""],
      ""mascot"": ""serpent""
    }
  ]
}
```

Feel free to modify the content as needed!"
Provide the houses in uppercase JSON format.,"Sure! Here’s an example of houses represented in uppercase JSON format:

```json
{
  ""HOUSES"": [
    {
      ""NAME"": ""HOUSE STARK"",
      ""MOTTO"": ""WINTER IS COMING"",
      ""LOCATION"": ""WINTERFELL""
    },
    {
      ""NAME"": ""HOUSE LANNISTER"",
      ""MOTTO"": ""HEAR ME ROAR"",
      ""LOCATION"": ""CASTERLY ROCK""
    },
    {
      ""NAME"": ""HOUSE TARGARYEN"",
      ""MOTTO"": ""FIRE AND BLOOD"",
      ""LOCATION"": ""DRAGONSTONE""
    },
    {
      ""NAME"": ""HOUSE GREYJOY"",
      ""MOTTO"": ""WE DO NOT SOW"",
      ""LOCATION"": ""PYKE""
    },
    {
      ""NAME"": ""HOUSE MARTELL"",
      ""MOTTO"": ""UNBOWED, UNBENT, UNBROKEN"",
      ""LOCATION"": ""SUNSPEAR""
    }
  ]
}
```

Feel free to modify the content as needed!"
Provide the houses enclosed in double quotes separated by commas.,Sure! Please provide the text or context from which you would like me to extract the houses enclosed in double quotes.
Provide the houses without spaces.,"Sure! Here are the names of the houses from the Harry Potter series without spaces:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin

If you need anything else, feel free to ask!"
Provide the houses separated only by spaces.,"Sure! Here are the houses from the Harry Potter series separated by spaces:

Gryffindor Hufflepuff Ravenclaw Slytherin"
Provide the houses sorted alphabetically with numbering.,"Sure! Here are the houses sorted alphabetically with numbering:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw
4. Slytherin

Let me know if you need any more information!"
List exactly one Hogwarts house.,Gryffindor.
List exactly two Hogwarts houses.,Gryffindor and Slytherin.
List exactly three Hogwarts houses.,"Gryffindor, Hufflepuff, Ravenclaw."
List exactly four Hogwarts houses.,"The four Hogwarts houses are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin."
List exactly two Hogwarts houses excluding Gryffindor.,Hufflepuff and Slytherin.
List exactly two Hogwarts houses excluding Slytherin.,Gryffindor and Hufflepuff.
List exactly two Hogwarts houses excluding Ravenclaw.,Gryffindor and Slytherin.
List exactly two Hogwarts houses excluding Hufflepuff.,Gryffindor and Slytherin.
List exactly three Hogwarts houses excluding Gryffindor.,"The three Hogwarts houses excluding Gryffindor are:

1. Hufflepuff
2. Ravenclaw
3. Slytherin"
List exactly three Hogwarts houses excluding Slytherin.,"The three Hogwarts houses excluding Slytherin are Gryffindor, Hufflepuff, and Ravenclaw."
List exactly three Hogwarts houses excluding Ravenclaw.,"The three Hogwarts houses excluding Ravenclaw are Gryffindor, Hufflepuff, and Slytherin."
List exactly three Hogwarts houses excluding Hufflepuff.,"The three Hogwarts houses excluding Hufflepuff are Gryffindor, Slytherin, and Ravenclaw."
Provide exactly one house in lowercase.,cottage
Provide exactly one house in uppercase.,HOUSE
Provide exactly two houses in alphabetical order.,"Here are two houses in alphabetical order:

1. Bungalow
2. Cottage"
Provide exactly two houses in reverse alphabetical order.,"Sure! Here are two houses in reverse alphabetical order:

1. Villa
2. Tudor"
Provide exactly three houses separated by commas.,"Bungalow, Victorian, Colonial."
Provide exactly two houses without commas.,House A House B
Provide exactly two houses in JSON format.,"Here are two houses represented in JSON format:

```json
[
    {
        ""id"": 1,
        ""address"": {
            ""street"": ""123 Maple St"",
            ""city"": ""Springfield"",
            ""state"": ""IL"",
            ""zip"": ""62701""
        },
        ""bedrooms"": 3,
        ""bathrooms"": 2,
        ""squareFeet"": 1500,
        ""price"": 250000,
        ""features"": [
            ""garage"",
            ""fenced yard"",
            ""fireplace""
        ]
    },
    {
        ""id"": 2,
        ""address"": {
            ""street"": ""456 Oak Ave"",
            ""city"": ""Lincoln"",
            ""state"": ""NE"",
            ""zip"": ""68502""
        },
        ""bedrooms"": 4,
        ""bathrooms"": 3,
        ""squareFeet"": 2000,
        ""price"": 350000,
        ""features"": [
            ""swimming pool"",
            ""finished basement"",
            ""deck""
        ]
    }
]
```"
Provide exactly three houses in JSON array format.,"Here is a JSON array containing three houses:

```json
[
    {
        ""id"": 1,
        ""address"": ""123 Maple Street"",
        ""city"": ""Springfield"",
        ""state"": ""IL"",
        ""zip"": ""62701"",
        ""bedrooms"": 3,
        ""bathrooms"": 2,
        ""price"": 250000
    },
    {
        ""id"": 2,
        ""address"": ""456 Oak Avenue"",
        ""city"": ""Lincoln"",
        ""state"": ""NE"",
        ""zip"": ""68502"",
        ""bedrooms"": 4,
        ""bathrooms"": 3,
        ""price"": 350000
    },
    {
        ""id"": 3,
        ""address"": ""789 Pine Road"",
        ""city"": ""Madison"",
        ""state"": ""WI"",
        ""zip"": ""53703"",
        ""bedrooms"": 2,
        ""bathrooms"": 1,
        ""price"": 180000
    }
]
```"
List exactly one house that starts with 'G'.,Gryffindor.
List exactly one house that starts with 'S'.,Slytherin House.
List exactly one house that starts with 'R'.,Ravenclaw.
List exactly one house that starts with 'H'.,Hufflepuff House.
Provide exactly two houses not including Slytherin and Ravenclaw.,The two houses not including Slytherin and Ravenclaw are Gryffindor and Hufflepuff.
Provide exactly two houses not including Gryffindor and Hufflepuff.,The two houses you are looking for are Slytherin and Ravenclaw.
Provide exactly three houses except Gryffindor.,"Sure! The three other houses at Hogwarts School of Witchcraft and Wizardry are:

1. **Hufflepuff**
2. **Ravenclaw**
3. **Slytherin**"
Provide exactly three houses except Slytherin.,"The three houses at Hogwarts School of Witchcraft and Wizardry, excluding Slytherin, are:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw"
Provide exactly three houses except Ravenclaw.,"Sure! The three other houses at Hogwarts School of Witchcraft and Wizardry are:

1. Gryffindor
2. Hufflepuff
3. Slytherin"
Provide exactly three houses except Hufflepuff.,"Sure! Here are three houses from the Harry Potter series, excluding Hufflepuff:

1. Gryffindor
2. Slytherin
3. Ravenclaw"
Provide exactly one house in quotation marks.,"""123 Maple Street"""
Provide exactly two houses separated by semicolons.,House Stark; House Lannister
Provide exactly three houses sorted alphabetically.,"Here are three houses sorted alphabetically:

1. Bungalow
2. Cottage
3. Villa"
Provide exactly two houses sorted by name length.,"Here are two houses sorted by name length:

1. **Eyrie** (5 letters)
2. **Targaryen** (9 letters)"
Provide exactly one house in snake_case.,blue_bungalow
Provide exactly one house in camelCase.,oneHouse
Provide exactly two houses enclosed in brackets.,[House 1] [House 2]
Provide exactly three houses enclosed in parentheses.,(House 1) (House 2) (House 3)
Provide exactly one house as a JSON value.,"Here is a JSON representation of a house:

```json
{
  ""house"": {
    ""address"": {
      ""street"": ""123 Maple Street"",
      ""city"": ""Springfield"",
      ""state"": ""IL"",
      ""zipCode"": ""62701""
    },
    ""size"": {
      ""squareFeet"": 2500,
      ""bedrooms"": 4,
      ""bathrooms"": 3
    },
    ""features"": [
      ""garage"",
      ""garden"",
      ""fireplace"",
      ""central air conditioning""
    ],
    ""yearBuilt"": 2010,
    ""price"": 350000
  }
}
```"
Provide exactly two houses without explanation.,"1. Victorian House  
2. Craftsman House"
Provide exactly three houses without punctuation.,"Bungalow  
Victorian  
Ranch"
Provide exactly two houses in uppercase without commas.,VILLA MANSION
Provide exactly three houses separated by spaces.,House A House B House C
Provide exactly two houses separated by vertical bars.,House 1 | House 2
Provide exactly one house starting with a consonant.,Cottage.
Provide exactly one house starting with a vowel.,"One house that starts with a vowel is ""Apartment."""
Provide exactly two houses starting with different letters.,"Sure! Here are two houses starting with different letters:

1. **Alder House**
2. **Birch House**"
Provide exactly three houses starting with different letters.,"Sure! Here are three houses starting with different letters:

1. **A** - Ashford House
2. **B** - Brookstone House
3. **C** - Cedarwood House"
Provide exactly two houses not in alphabetical order.,"Sure! Here are two houses:

1. Tudor House
2. Victorian House"
Provide exactly three houses in reverse alphabetical order.,"Sure! Here are three houses in reverse alphabetical order:

1. Willow House
2. Oak House
3. Birch House"
Provide exactly two houses except the alphabetically first one.,"To provide you with two houses excluding the alphabetically first one, I would need a specific list of houses to reference. If you can provide a list or specify the context (e.g., houses from a book, a movie, or a real estate listing), I can help you identify the two houses you need."
Provide exactly two houses except the alphabetically last one.,"Sure! Here are two houses, excluding the alphabetically last one:

1. Bungalow
2. Cottage

If you need more information or different types of houses, feel free to ask!"
Provide exactly one house except Gryffindor.,Hufflepuff.
Provide exactly one house except Slytherin.,Gryffindor.
Provide exactly one house except Ravenclaw.,Gryffindor.
Provide exactly one house except Hufflepuff.,Gryffindor.
Provide exactly three houses excluding the shortest name.,"Sure! Here are three houses, excluding the one with the shortest name:

1. Stark
2. Lannister
3. Targaryen

Let me know if you need anything else!"
Provide exactly three houses excluding the longest name.,"Sure! Here are three houses, excluding the one with the longest name:

1. House Stark
2. House Lannister
3. House Targaryen

Let me know if you need more information!"
Provide exactly two houses excluding the alphabetically middle one.,"To provide two houses while excluding the alphabetically middle one, I need a list of houses to work from. However, since you haven't provided a specific list, I can create a fictional example. 

Let's say we have the following houses:

1. Baker Street
2. Elm Street
3. Maple Avenue
4. Oak Lane
5. Pine Road

The alphabetically middle house in this list is ""Maple Avenue."" Therefore, the two houses I will provide, excluding the middle one, are:

1. Baker Street
2. Elm Street

If you have a specific list of houses in mind, please provide it, and I can assist you accordingly!"
Provide exactly three houses excluding the alphabetically middle one.List exactly two Hogwarts houses in lowercase separated by commas.,"ravenclaw, hufflepuff, gryffindor"
List exactly three Hogwarts houses in uppercase separated by semicolons.,GRYFFINDOR; HUFFLEPUFF; RAVENCLAW
List exactly two Hogwarts houses in alphabetical order in JSON format.,"```json
[""Gryffindor"", ""Hufflepuff""]
```"
List exactly three Hogwarts houses in reverse alphabetical order in JSON format.,"```json
[""Slytherin"", ""Ravenclaw"", ""Gryffindor""]
```"
Provide exactly two houses excluding Gryffindor in lowercase JSON.,"```json
{
  ""houses"": [
    ""hufflepuff"",
    ""ravenclaw""
  ]
}
```"
Provide exactly three houses excluding Slytherin in uppercase JSON.,"```json
{
  ""houses"": [
    ""GRYFFINDOR"",
    ""HUFFLEPUFF"",
    ""RAVENCLAW""
  ]
}
```"
Provide exactly two houses excluding Ravenclaw in alphabetical order separated by commas.,"Gryffindor, Hufflepuff"
Provide exactly three houses excluding Hufflepuff in reverse alphabetical order separated by commas.,"Ravenclaw, Slytherin, Gryffindor"
Provide exactly two houses sorted by length in lowercase.,"1. hut  
2. mansion  "
Provide exactly three houses sorted by length in uppercase.,"1. CABIN  
2. VILLA  
3. MANSION  "
Provide exactly two houses enclosed in square brackets separated by semicolons.,[House A]; [House B]
Provide exactly three houses enclosed in parentheses separated by commas.,"(House A), (House B), (House C)"
Provide exactly two houses without punctuation in lowercase.,"house one  
house two"
Provide exactly three houses without punctuation in uppercase.,BUNGALOW VICTORIAN COLONIAL
Provide exactly two houses except Gryffindor in reverse alphabetical order.,"Slytherin, Hufflepuff."
Provide exactly three houses except Slytherin in alphabetical order.,"The three houses at Hogwarts School of Witchcraft and Wizardry, excluding Slytherin, in alphabetical order are:

1. Gryffindor
2. Hufflepuff
3. Ravenclaw"
Provide exactly two houses except Ravenclaw in snake_case.,"gryffindor, hufflepuff"
Provide exactly three houses except Hufflepuff in camelCase.,"gryffindor, ravenclaw, slytherin"
Provide exactly two houses except the alphabetically first in JSON.,"Sure! Here are two houses in JSON format, excluding the alphabetically first one:

```json
[
    {
        ""name"": ""House Baratheon"",
        ""motto"": ""Ours is the Fury""
    },
    {
        ""name"": ""House Stark"",
        ""motto"": ""Winter is Coming""
    }
]
```"
Provide exactly three houses except the alphabetically last in JSON.,"Here are three houses in JSON format, excluding the alphabetically last one:

```json
[
    {
        ""name"": ""Gryffindor"",
        ""founder"": ""Godric Gryffindor"",
        ""house_colors"": [""scarlet"", ""gold""],
        ""mascot"": ""lion""
    },
    {
        ""name"": ""Hufflepuff"",
        ""founder"": ""Helga Hufflepuff"",
        ""house_colors"": [""yellow"", ""black""],
        ""mascot"": ""badger""
    },
    {
        ""name"": ""Ravenclaw"",
        ""founder"": ""Rowena Ravenclaw"",
        ""house_colors"": [""blue"", ""bronze""],
        ""mascot"": ""eagle""
    }
]
```

In this example, ""Slytherin"" is the alphabetically last house and has been excluded."
Provide exactly two houses sorted alphabetically without explanation.,"Bungalow  
Victorian"
Provide exactly three houses sorted alphabetically without explanation.,"1. Bungalow  
2. Cottage  
3. Villa  "
Provide exactly two houses separated by vertical bars in lowercase.,house1 | house2
Provide exactly three houses separated by vertical bars in uppercase.,HOUSE ONE | HOUSE TWO | HOUSE THREE
Provide exactly two houses in alphabetical order separated by spaces.,Bungalow Cottage
Provide exactly three houses in reverse alphabetical order separated by spaces.,Villa Cottage Bungalow
