id,category,prompt,difficulty,constraint_count,steps,paraphrase_group,source
348,planning,Remove Hufflepuff and output remaining houses in uppercase.,easy,,2,,original
349,planning,Remove Gryffindor and output remaining houses sorted by length.,easy,,2,,original
350,planning,Remove Slytherin and output remaining houses sorted by length.,easy,,2,,original
351,planning,Remove Ravenclaw and output remaining houses sorted by length.,easy,,2,,original
352,planning,Remove Hufflepuff and output remaining houses sorted by length.,easy,,2,,original
353,planning,Remove Gryffindor and return the remaining houses separated by commas.,easy,,2,,original
354,planning,Remove Slytherin and return the remaining houses separated by semicolons.,easy,,2,,original
355,planning,Remove Ravenclaw and return the remaining houses separated by vertical bars.,easy,,2,,original
356,planning,Remove Hufflepuff and return the remaining houses separated by spaces.,easy,,2,,original
357,planning,Remove Gryffindor and list remaining houses in one sentence.,easy,,2,,original
358,planning,Remove Slytherin and list remaining houses in one sentence.,easy,,2,,original
359,planning,Remove Ravenclaw and list remaining houses in one sentence.,easy,,2,,original
360,planning,Remove Hufflepuff and list remaining houses in one sentence.,easy,,2,,original
361,planning,"Remove Gryffindor, sort the remaining houses alphabetically, and count them.",medium,,3,,original
362,planning,"Remove Slytherin, sort the remaining houses alphabetically, and count them.",medium,,3,,original
363,planning,"Remove Ravenclaw, sort the remaining houses alphabetically, and count them.",medium,,3,,original
364,planning,"Remove Hufflepuff, sort the remaining houses alphabetically, and count them.",medium,,3,,original
365,planning,"Remove Gryffindor, list remaining houses in reverse alphabetical order, and count them.",medium,,3,,original
366,planning,"Remove Slytherin, list remaining houses in reverse alphabetical order, and count them.",medium,,3,,original
367,planning,"Remove Ravenclaw, list remaining houses in reverse alphabetical order, and count them.",medium,,3,,original
368,planning,"Remove Hufflepuff, list remaining houses in reverse alphabetical order, and count them.",medium,,3,,original
369,planning,"Remove Gryffindor, sort remaining houses alphabetically, and output result in JSON with keys “houses” and “count”.",medium,,3,,original
370,planning,"Remove Slytherin, sort remaining houses alphabetically, and output result in JSON with keys “houses” and “count”.",medium,,3,,original
371,planning,"Remove Ravenclaw, sort remaining houses alphabetically, and output result in JSON with keys “houses” and “count”.",medium,,3,,original
372,planning,"Remove Hufflepuff, sort remaining houses alphabetically, and output result in JSON with keys “houses” and “count”.",medium,,3,,original
373,planning,"Remove Gryffindor and Ravenclaw, then list remaining houses alphabetically and count them.",medium,,3,,original
374,planning,"Remove Gryffindor and Slytherin, then list remaining houses alphabetically and count them.",medium,,3,,original
375,planning,"Remove Gryffindor and Hufflepuff, then list remaining houses alphabetically and count them.",medium,,3,,original
376,planning,"Remove Ravenclaw and Slytherin, then list remaining houses alphabetically and count them.",medium,,3,,original
377,planning,"Remove Ravenclaw and Hufflepuff, then list remaining houses alphabetically and count them.",medium,,3,,original
378,planning,"Remove Slytherin and Hufflepuff, then list remaining houses alphabetically and count them.",medium,,3,,original
379,planning,"Remove the alphabetically first house, sort remaining houses alphabetically, and count them.",medium,,3,,original
380,planning,"Remove the alphabetically last house, sort remaining houses alphabetically, and count them.",medium,,3,,original
381,planning,"Remove the shortest house name, sort remaining houses alphabetically, and count them.",medium,,3,,original
382,planning,"Remove the longest house name, sort remaining houses alphabetically, and count them.",medium,,3,,original
383,planning,"Remove one house of your choice, sort the remaining houses alphabetically, and count them.",medium,,3,,original
384,planning,"Remove one house of your choice, list remaining houses in reverse alphabetical order, and count them.",medium,,3,,original
385,planning,"Remove one house of your choice, sort remaining houses alphabetically, and output JSON with keys “houses” and “count”.",medium,,3,,original
386,planning,"Remove Gryffindor, reorder remaining houses alphabetically, provide count on a new line.",medium,,3,,original
387,planning,"Remove Slytherin, reorder remaining houses alphabetically, provide count on a new line.",medium,,3,,original
388,planning,"Remove Ravenclaw, reorder remaining houses alphabetically, provide count on a new line.",medium,,3,,original
389,planning,"Remove Hufflepuff, reorder remaining houses alphabetically, provide count on a new line.",medium,,3,,original
390,planning,"Remove Gryffindor, reorder remaining houses in reverse alphabetical order, provide count.",medium,,3,,original
391,planning,"Remove Slytherin, reorder remaining houses in reverse alphabetical order, provide count.",medium,,3,,original
392,planning,"Remove Ravenclaw, reorder remaining houses in reverse alphabetical order, provide count.",medium,,3,,original
393,planning,"Remove Hufflepuff, reorder remaining houses in reverse alphabetical order, provide count.",medium,,3,,original
394,planning,"Remove Gryffindor, sort remaining houses alphabetically, then remove the first of those and count remaining.",medium,,3,,original
