Prompt,Gemini_Output
Provide the houses without using conjunctions.,"Okay, I understand. You want a list of types of houses, separated by commas or other punctuation, but *without* using conjunctions like ""and,"" ""or,"" ""but,"" etc.

Here are some examples:

*   Apartment, condo, townhouse, duplex, single-family home.
*   Mansion, cottage, bungalow, cabin, villa.
*   Mobile home, tiny house, yurt, houseboat, treehouse.
*   Farmhouse, ranch, split-level, Victorian, colonial.
*   Loft, studio, penthouse, brownstone, row house.
"
Provide the houses separated by the word 'and'.,"Please provide the context! I need to know what houses you are referring to. For example, you could give me a sentence like:

""The houses on Elm Street, the blue house and the red house, are for sale.""

Then I could answer:

""The blue house and the red house""
"
Provide the houses separated by hyphens.,"Please provide me with the houses you want separated by hyphens. For example, you could give me:

""Gryffindor, Slytherin, Hufflepuff, Ravenclaw""

And I would respond with:

""Gryffindor-Slytherin-Hufflepuff-Ravenclaw""
"
Provide the houses separated by colons.,"Please provide me with the information about the houses you want me to separate with colons. For example, you could give me:

""House A, House B, House C""

And I would respond with:

""House A:House B:House C""

I need the list of houses first!
"
Return the answer strictly in JSON format.,"```json
{
  ""answer"": ""JSON format""
}
```"
Return the answer strictly in plain text.,"Okay, I will provide answers in plain text only.
"
Provide the houses as a CSV line.,"Okay, I need more information to provide you with a CSV line of houses.  To create a meaningful CSV line, I need to know what data you want to include for each house.  For example, do you want:

*   **Address?**
*   **City?**
*   **State?**
*   **Zip Code?**
*   **Number of Bedrooms?**
*   **Number of Bathrooms?**
*   **Square Footage?**
*   **Price?**
*   **Year Built?**
*   **Lot Size?**

Once you tell me what information you want to include, I can create a sample CSV line.

**Example:**

Let's say you want the following information:

*   Address
*   City
*   Bedrooms
*   Bathrooms
*   Price

Then a sample CSV line would look like this:

```csv
""12"
Provide the houses as a markdown list.,"Okay, here's a markdown list of the Hogwarts houses:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
Provide the houses as a table with one column.,"Okay, I need some information to create that table for you.  Please tell me what you want the table to contain. For example:

*   **What kind of houses are you interested in?** (e.g., Hogwarts houses, real estate listings, houses in a specific book/movie, types of architectural styles)
*   **What are the names of the houses?** (e.g., Gryffindor, Slytherin, Ravenclaw, Hufflepuff)

Once you provide me with the list of houses, I can create the table.

For example, if you want a table of the Hogwarts houses, it would look like this:

| Houses |
|---|---|
| Gryffindor |
| Slytherin |
| Ravenclaw |
| Hufflepuff |
"
Provide the houses as a table with two columns.,"Okay, I need some information to create the table of houses for you.  Please tell me:

*   **What kind of houses are you interested in?** (e.g., Hogwarts houses, zodiac houses, real estate houses, houses in a specific book/movie/game, etc.)
*   **What two columns do you want in the table?** (e.g., House Name and Description, House Name and Founder, House Name and Symbol, etc.)

Once you provide this information, I can create the table for you.

**Example:**

Let's say you want a table of Hogwarts houses with the columns ""House Name"" and ""Traits"".  Then I would create something like this:

| House Name | Traits                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
Provide the houses with numbering starting from 0.,"Okay, I understand. Please provide me with the information about the houses you want me to number. I need to know what I'm numbering! For example, you could give me:

*   **A list of house names or addresses:** ""House A, House B, House C""
*   **A description of the houses:** ""The three houses on Elm Street""
*   **A visual representation:** (If possible, though I can't process images directly, you could describe their order)

Once I have that, I will provide you with the same list/description, but with each house numbered starting from 0.

**Example:**

**You:** ""The houses are: Red House, Blue House, Green House""

**Me:**

*   0: Red House
*   1: Blue House
*   2: Green House
"
Provide the houses with numbering starting from 1.,"Okay, I understand. To provide houses with numbering starting from 1, I need some information.  Please tell me:

*   **What are the houses?**  Are they listed somewhere? Are they described? Do you have a list of names or addresses?
*   **How many houses are there?**

Once I have this information, I can list the houses with numbers starting from 1.

**Example:**

**If you tell me:**

""The houses are: A, B, C, D""

**I will respond:**

1.  A
2.  B
3.  C
4.  D
"
Provide the houses without punctuation.,"Please provide me with the text containing the houses so I can remove the punctuation.
"
Provide the houses without repeating any word.,"Okay, I understand. Here are some types of houses, described without repeating any words within each description:

1.  **Cabin:** Rustic dwelling, timber walls, cozy fireplace.
2.  **Mansion:** Grand residence, sprawling grounds, luxurious amenities.
3.  **Apartment:** Urban living, shared building, compact space.
4.  **Bungalow:** Single story, wide porch, comfortable layout.
5.  **Townhouse:** Row housing, multiple levels, attached units.
6.  **Condominium:** Private ownership, common areas, managed property.
7.  **Farmhouse:** Rural setting, agricultural land, traditional design.
8.  **Villa:** Lavish estate, Mediterranean style, scenic views.
9.  **Chalet:** Alpine home, sloping roof, snowy region.
10. **Cottage:** Small house, charming garden, quaint feel.
"
Provide the houses sorted in descending alphabetical order.,"Okay, I need the list of houses first! Please provide the list of houses you want me to sort. For example, you could say:

""Sort these houses in descending alphabetical order: Gryffindor, Slytherin, Hufflepuff, Ravenclaw""

Then I can give you the answer.
"
Provide the houses sorted in ascending alphabetical order.,"Okay, here's a list of the Harry Potter houses sorted in ascending alphabetical order:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin"
Provide the houses grouped by first letter.,"Okay, I can do that! To provide you with a list of houses grouped by their first letter, I need to know **what houses you're referring to.**

Please tell me:

*   **What kind of houses are you interested in?** (e.g., Houses in Harry Potter, Houses in Game of Thrones, Houses in a specific city, Types of architectural houses, etc.)

Once you provide me with the context, I can create the list for you.

For example, if you meant the houses in Harry Potter, I would provide:

*   **G**
    *   Gryffindor
*   **H**
    *   Hufflepuff
*   **R**
    *   Ravenclaw
*   **S**
    *   Slytherin

I'm ready when you are! Just give me the topic.
"
Provide the houses grouped by length.,"Okay, I need the list of houses first! Please provide the list of houses you want me to group by length. For example, you could give me something like this:

""Here's the list of houses:

*   Small House
*   Large Mansion
*   Tiny Cottage
*   Medium House
*   Grand Estate""

Once you provide the list, I can group them by length (number of characters in the name).
"
Provide the houses in reverse listing order.,"Okay, I need the list of houses to provide them in reverse order. Please provide the list of houses. For example, you could give me:

*   House A
*   House B
*   House C
*   House D

Then I can give you the reverse order:

*   House D
*   House C
*   House B
*   House A
"
Provide the houses in sentence form separated by commas.,"Please provide me with the list of houses you want me to put into sentence form, separated by commas. For example, you could give me:

""Gryffindor, Slytherin, Ravenclaw, Hufflepuff""

Then I can give you:

""Gryffindor, Slytherin, Ravenclaw, Hufflepuff.""
"
Provide the houses in all caps separated by spaces.,"GRYFFINDOR HUFFLEPUFF RAVENCLAW SLYTHERIN
"
Provide the houses in lowercase separated by commas.,"gryffindor, hufflepuff, ravenclaw, slytherin
"
Provide the houses in camelCase.,"Okay, I will provide a list of house-related terms converted to camelCase.  Here are some examples:

*   singleFamilyHome
*   townHouse
*   apartmentBuilding
*   condominiumComplex
*   mobileHomePark
*   farmHouse
*   vacationHome
*   beachHouse
*   lakeHouse
*   mountainCabin
*   treeHouse
*   dogHouse
*   guestHouse
*   hauntedHouse
*   halfwayHouse
*   pentHouse
*   poolHouse
*   clubHouse
*   dollHouse
*   greenHouse
*   brownStone
*   ranchHouse
*   splitLevelHome
*   victorianHouse
*   colonialHouse
*   bungalowHouse
*   mansionHouse
*   tinyHouse
*   modularHome
*   stiltHouse
*   earthShelteredHome
*   shippingContainerHome
"
Provide the houses in snake_case.,"Okay, I understand. Please provide me with the list of houses you want me to convert to snake_case. For example, you could give me:

""Gryffindor, Slytherin, Ravenclaw, Hufflepuff""

Then I will return:

""gryffindor, slytherin, ravenclaw, hufflepuff""

I'm ready when you are!
"
Provide the houses in kebab-case.,"Okay, I need some context! I can't provide houses in kebab-case without knowing what houses you're referring to.

Please tell me:

*   **What kind of houses are you interested in?** (e.g., Hogwarts houses, Game of Thrones houses, real estate houses, houses in a specific book/movie/game, etc.)
*   **What are the names of the houses?**

For example, if you said:

""Hogwarts houses: Gryffindor, Hufflepuff, Ravenclaw, Slytherin""

Then I would respond:

*   gryffindor
*   hufflepuff
*   ravenclaw
*   slytherin

Once you give me the house names, I can easily convert them to kebab-case.
"
Provide the houses enclosed in curly braces.,"Okay, I understand. Please provide the text or context that contains the houses enclosed in curly braces. I need the text to be able to identify and extract the houses within the curly braces.

For example, if you provide:

""The houses are {Gryffindor}, {Slytherin}, {Ravenclaw}, and {Hufflepuff}.""

Then I will respond with:

{Gryffindor}, {Slytherin}, {Ravenclaw}, {Hufflepuff}
"
Provide the houses enclosed in angle brackets.,"Please provide the text you are referring to. I need the text to be able to identify the houses enclosed in angle brackets.
"
Provide the houses as an HTML list.,"Okay, I need more information to provide you with an HTML list of houses.  Please tell me:

*   **What information do you want to include for each house?**  For example:
    *   Address
    *   Price
    *   Number of bedrooms
    *   Number of bathrooms
    *   Square footage
    *   Image URL
    *   Description
    *   Etc.

*   **What are the details for each house?**  Provide the data for each house you want to include in the list.

**Example:**

Let's say you want to list two houses with their address and price:

**House 1:**
*   Address: 123 Main Street
*   Price: $250,000

**House 2:**
*   Address: 456 Oak Avenue
*   Price: $375,000

Then"
Provide the houses as a JSON object with key 'houses'.,"```json
{
  ""houses"": [
    {
      ""address"": ""123 Main Street"",
      ""city"": ""Anytown"",
      ""state"": ""CA"",
      ""zip"": ""91234"",
      ""bedrooms"": 3,
      ""bathrooms"": 2,
      ""squareFootage"": 1500,
      ""price"": 500000,
      ""amenities"": [""Garage"", ""Yard"", ""Central Air""]
    },
    {
      ""address"": ""456 Oak Avenue"",
      ""city"": ""Springfield"",
      ""state"": ""NY"",
      ""zip"": ""10001"",
      ""bedrooms"": 2,
      ""bathrooms"": 1,
      ""squareFootage"": 1000,
      ""price"": 3500"
Provide the houses without explanation and without formatting.,"Gryffindor
Hufflepuff
Ravenclaw
Slytherin
"
"Provide only the names, nothing else.","Okay, I understand.
"
Provide only four words corresponding to the houses.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin
"
Provide the houses in alphabetical order separated by semicolons.,"Okay, I need some context! To provide houses in alphabetical order, I need to know:

*   **What kind of houses are you referring to?** (e.g., Hogwarts houses, Game of Thrones houses, zodiac houses, real estate listings in a specific city, etc.)

Once you provide the context, I can give you the list in alphabetical order separated by semicolons.

For example, if you said ""Hogwarts houses"", I would respond:

""Gryffindor; Hufflepuff; Ravenclaw; Slytherin""
"
Provide the houses in reverse alphabetical order separated by commas.,"Okay, here are the Hogwarts houses in reverse alphabetical order, separated by commas:

Slytherin, Ravenclaw, Gryffindor, Hufflepuff
"
Provide the houses sorted by number of letters ascending.,"Okay, I need the list of houses first! Please provide the list of houses you want me to sort.

For example, you could say:

""Here are the houses: Gryffindor, Slytherin, Hufflepuff, Ravenclaw""

Then I can sort them for you.
"
Provide the houses sorted by number of letters descending.,"Okay, I need the list of houses first! Please provide the list of houses you want me to sort.

For example, you could give me:

""Gryffindor, Slytherin, Hufflepuff, Ravenclaw""

Then I can sort them by the number of letters in each name.
"
Provide the houses as a single paragraph.,"The houses stood in a neat row, each a slightly different shade of pastel, with meticulously manicured lawns and identical white picket fences. Some boasted vibrant flowerbeds overflowing with color, while others displayed carefully arranged rock gardens. A few had porch swings gently swaying in the breeze, and others featured decorative shutters framing their windows. Despite their subtle variations, they all exuded an air of quiet suburban conformity, a testament to the shared values and aspirations of their inhabitants.
"
Provide the houses as four separate bullet points.,"Okay, here are four bullet points, ready for you to fill in with the houses you want to list:

*   
*   
*   
*
"
Provide the houses in lowercase JSON format.,"```json
[
  {
    ""address"": ""123 main street"",
    ""city"": ""anytown"",
    ""state"": ""ca"",
    ""zip"": ""91234"",
    ""bedrooms"": 3,
    ""bathrooms"": 2,
    ""square_footage"": 1500,
    ""price"": 500000
  },
  {
    ""address"": ""456 oak avenue"",
    ""city"": ""springfield"",
    ""state"": ""il"",
    ""zip"": ""62704"",
    ""bedrooms"": 4,
    ""bathrooms"": 2.5,
    ""square_footage"": 2200,
    ""price"": 350000
  },
  {
    ""address"": ""789 pine lane"",
"
Provide the houses in uppercase JSON format.,"```json
{
  ""HOUSES"": [
    {
      ""ADDRESS"": ""123 MAIN STREET"",
      ""CITY"": ""ANYTOWN"",
      ""STATE"": ""CA"",
      ""ZIP"": ""91234"",
      ""BEDROOMS"": 3,
      ""BATHROOMS"": 2,
      ""SQUARE_FOOTAGE"": 1500,
      ""PRICE"": 500000
    },
    {
      ""ADDRESS"": ""456 OAK AVENUE"",
      ""CITY"": ""SPRINGFIELD"",
      ""STATE"": ""IL"",
      ""ZIP"": ""62704"",
      ""BEDROOMS"": 4,
      ""BATHROOMS"": 2.5,
      ""SQUARE_FOOTAGE"": 2200,
      ""PRICE"": 3500"
Provide the houses enclosed in double quotes separated by commas.,"Please provide me with the list of houses you want me to enclose in double quotes and separate with commas. I need the list of houses to be able to fulfill your request.

For example, you could say:

""I want you to provide the houses enclosed in double quotes separated by commas: Red House, Blue House, Green House, Yellow House""

Then I would respond with:

""\""Red House\"", \""Blue House\"", \""Green House\"", \""Yellow House\""""
"
Provide the houses without spaces.,"Okay, I understand. Please provide the list of houses (or house names/addresses) that you want me to format without spaces. I will then return the list with all spaces removed.
"
Provide the houses separated only by spaces.,"Okay, I understand. Please provide the list of houses you want me to separate with spaces.
"
Provide the houses sorted alphabetically with numbering.,"Okay, I need a list of houses to sort alphabetically and number. Please provide the list of houses!

For example, you could give me:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin

Then I can give you the sorted and numbered list.
"
List exactly one Hogwarts house.,"Gryffindor
"
List exactly two Hogwarts houses.,"*   Gryffindor
*   Slytherin
"
List exactly three Hogwarts houses.,"1. Gryffindor
2. Slytherin
3. Hufflepuff
"
List exactly four Hogwarts houses.,"*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
List exactly two Hogwarts houses excluding Gryffindor.,"Okay, here are two Hogwarts houses, excluding Gryffindor:

1.  **Slytherin**
2.  **Ravenclaw**
"
List exactly two Hogwarts houses excluding Slytherin.,"*   Gryffindor
*   Hufflepuff
"
List exactly two Hogwarts houses excluding Ravenclaw.,"*   Gryffindor
*   Slytherin
"
List exactly two Hogwarts houses excluding Hufflepuff.,"*   Gryffindor
*   Slytherin
"
List exactly three Hogwarts houses excluding Gryffindor.,"Okay, here are three Hogwarts houses, excluding Gryffindor:

1.  **Hufflepuff**
2.  **Ravenclaw**
3.  **Slytherin**
"
List exactly three Hogwarts houses excluding Slytherin.,"Okay, here are three Hogwarts houses, excluding Slytherin:

1.  Gryffindor
2.  Hufflepuff
3.  Ravenclaw
"
List exactly three Hogwarts houses excluding Ravenclaw.,"Okay, here are three Hogwarts houses, excluding Ravenclaw:

1.  Gryffindor
2.  Hufflepuff
3.  Slytherin
"
List exactly three Hogwarts houses excluding Hufflepuff.,"Okay, here are three Hogwarts houses, excluding Hufflepuff:

1.  Gryffindor
2.  Slytherin
3.  Ravenclaw
"
Provide exactly one house in lowercase.,"house
"
Provide exactly one house in uppercase.,"BUCKINGHAM PALACE
"
Provide exactly two houses in alphabetical order.,"1.  Gryffindor
2.  Hufflepuff
"
Provide exactly two houses in reverse alphabetical order.,"*   Yellow House
*   Red House
"
Provide exactly three houses separated by commas.,"Brick ranch, Victorian farmhouse, Modern condo
"
Provide exactly two houses without commas.,"Red house blue house
"
Provide exactly two houses in JSON format.,"```json
[
  {
    ""address"": ""123 Main Street, Anytown, CA 91234"",
    ""bedrooms"": 3,
    ""bathrooms"": 2.5,
    ""square_footage"": 1800,
    ""price"": 750000,
    ""property_type"": ""Single Family Home"",
    ""features"": [""Central AC"", ""Fireplace"", ""Large Backyard""]
  },
  {
    ""address"": ""456 Oak Avenue, Sometown, NY 10001"",
    ""bedrooms"": 1,
    ""bathrooms"": 1,
    ""square_footage"": 600,
    ""price"": 300000,
    ""property_type"": ""Condo"",
    ""features"": [""Balcony"", ""City View"","
Provide exactly three houses in JSON array format.,"```json
[
  {
    ""address"": ""123 Main St"",
    ""city"": ""Anytown"",
    ""state"": ""CA"",
    ""zip"": ""91234"",
    ""bedrooms"": 3,
    ""bathrooms"": 2,
    ""square_footage"": 1500,
    ""price"": 750000
  },
  {
    ""address"": ""456 Oak Ave"",
    ""city"": ""Springfield"",
    ""state"": ""IL"",
    ""zip"": ""62704"",
    ""bedrooms"": 4,
    ""bathrooms"": 2.5,
    ""square_footage"": 2200,
    ""price"": 350000
  },
  {
    ""address"": ""789 Pine Ln"",
"
List exactly one house that starts with 'G'.,"Gingerbread house
"
List exactly one house that starts with 'S'.,"Stilt house
"
List exactly one house that starts with 'R'.,"Ranch house
"
List exactly one house that starts with 'H'.,"Hufflepuff
"
Provide exactly two houses not including Slytherin and Ravenclaw.,"Gryffindor and Hufflepuff
"
Provide exactly two houses not including Gryffindor and Hufflepuff.,"Okay, here are two Hogwarts houses, excluding Gryffindor and Hufflepuff:

1.  **Ravenclaw**
2.  **Slytherin**
"
Provide exactly three houses except Gryffindor.,"Okay, here are three houses from Hogwarts School of Witchcraft and Wizardry, excluding Gryffindor:

1.  **Slytherin**
2.  **Ravenclaw**
3.  **Hufflepuff**
"
Provide exactly three houses except Slytherin.,"Okay, here are three Hogwarts houses, excluding Slytherin:

1.  **Gryffindor**
2.  **Hufflepuff**
3.  **Ravenclaw**
"
Provide exactly three houses except Ravenclaw.,"Okay, here are three Hogwarts houses, excluding Ravenclaw:

1.  **Gryffindor**
2.  **Hufflepuff**
3.  **Slytherin**
"
Provide exactly three houses except Hufflepuff.,"Okay, here are three Hogwarts houses, excluding Hufflepuff:

1.  Gryffindor
2.  Slytherin
3.  Ravenclaw
"
Provide exactly one house in quotation marks.,"""123 Maple Street""
"
Provide exactly two houses separated by semicolons.,"A cozy cottage with a thatched roof and climbing roses; a modern glass and steel structure perched on a cliff overlooking the ocean.
"
Provide exactly three houses sorted alphabetically.,"Okay, here are three houses, sorted alphabetically:

1.  **Gryffindor**
2.  **Hufflepuff**
3.  **Ravenclaw**
"
Provide exactly two houses sorted by name length.,"Okay, here are two houses, sorted by the length of their names (shortest to longest):

1.  **House Stark**
2.  **House Targaryen**
"
Provide exactly one house in snake_case.,"brick_house
"
Provide exactly one house in camelCase.,"camelCaseHouse
"
Provide exactly two houses enclosed in brackets.,"[A cozy cottage with a thatched roof and a blooming garden.] [A modern, minimalist house with floor-to-ceiling windows overlooking the ocean.]
"
Provide exactly three houses enclosed in parentheses.,"(A cozy cottage with a thatched roof and flower boxes) (A modern townhouse with floor-to-ceiling windows and a rooftop terrace) (A sprawling Victorian mansion with a wraparound porch and a turret)
"
Provide exactly one house as a JSON value.,"```json
{
  ""address"": ""123 Main Street"",
  ""city"": ""Anytown"",
  ""state"": ""CA"",
  ""zip"": ""91234"",
  ""bedrooms"": 3,
  ""bathrooms"": 2.5,
  ""squareFootage"": 1500,
  ""lotSize"": 0.25,
  ""yearBuilt"": 1985,
  ""price"": 550000,
  ""features"": [
    ""Central Air"",
    ""Fireplace"",
    ""Updated Kitchen"",
    ""Fenced Yard""
  ],
  ""garage"": {
    ""type"": ""Attached"",
    ""spaces"": 2
  }
}
```
"
Provide exactly two houses without explanation.,"A cozy cottage with a thatched roof and a modern, minimalist townhouse.
"
Provide exactly three houses without punctuation.,"redbrickcottage
modernfarmhouse
victorianmansion
"
Provide exactly two houses in uppercase without commas.,"HOUSE1 HOUSE2
"
Provide exactly three houses separated by spaces.,"🏠 🏠 🏠
"
Provide exactly two houses separated by vertical bars.,"🏠 | 🏠
"
Provide exactly one house starting with a consonant.,"Bungalow
"
Provide exactly one house starting with a vowel.,"A-frame house
"
Provide exactly two houses starting with different letters.,"Okay, here are two houses, each starting with a different letter:

1.  **Bungalow:** A low house, typically with a broad front porch, having one story or, in some designs, a second story set into the roof.

2.  **Villa:** A large and luxurious country residence.
"
Provide exactly three houses starting with different letters.,"Okay, here are three houses, each starting with a different letter:

1.  **A**partment
2.  **B**ungalow
3.  **C**ottage
"
Provide exactly two houses not in alphabetical order.,"*   Gryffindor
*   Slytherin
"
Provide exactly three houses in reverse alphabetical order.,"Okay, here are three houses in reverse alphabetical order:

1.  **Tudor**
2.  **Ranch**
3.  **Log Cabin**
"
Provide exactly two houses except the alphabetically first one.,"Okay, here are two houses, excluding ""A"":

*   **Gryffindor**
*   **Hufflepuff**
"
Provide exactly two houses except the alphabetically last one.,"Okay, here are two houses from Game of Thrones, excluding House Targaryen:

*   House Stark
*   House Lannister
"
Provide exactly one house except Gryffindor.,"Slytherin
"
Provide exactly one house except Slytherin.,"Gryffindor
"
Provide exactly one house except Ravenclaw.,"Slytherin
"
Provide exactly one house except Hufflepuff.,"Gryffindor
"
Provide exactly three houses excluding the shortest name.,"Okay, here are three houses, excluding the shortest name:

1.  **Gryffindor**
2.  **Hufflepuff**
3.  **Ravenclaw**
"
Provide exactly three houses excluding the longest name.,"Okay, here are three houses from Game of Thrones, excluding House Targaryen (the longest name):

1.  **Stark**
2.  **Lannister**
3.  **Tyrell**
"
Provide exactly two houses excluding the alphabetically middle one.,"Okay, here are two houses, excluding the alphabetically middle one:

1.  **Gryffindor**
2.  **Slytherin**
"
Provide exactly three houses excluding the alphabetically middle one.List exactly two Hogwarts houses in lowercase separated by commas.,"Gryffindor, Slytherin, Ravenclaw

gryffindor, slytherin
"
List exactly three Hogwarts houses in uppercase separated by semicolons.,"GRYFFINDOR; HUFFLEPUFF; RAVENCLAW
"
List exactly two Hogwarts houses in alphabetical order in JSON format.,"```json
[
  ""Gryffindor"",
  ""Hufflepuff""
]
```
"
List exactly three Hogwarts houses in reverse alphabetical order in JSON format.,"```json
[
  ""Slytherin"",
  ""Ravenclaw"",
  ""Hufflepuff""
]
```
"
Provide exactly two houses excluding Gryffindor in lowercase JSON.,"```json
[
  {
    ""name"": ""slytherin""
  },
  {
    ""name"": ""ravenclaw""
  }
]
```
"
Provide exactly three houses excluding Slytherin in uppercase JSON.,"```json
{
  ""houses"": [
    {
      ""name"": ""GRYFFINDOR"",
      ""values"": [""Courage"", ""Bravery"", ""Nerve"", ""Chivalry""]
    },
    {
      ""name"": ""HUFFLEPUFF"",
      ""values"": [""Hard Work"", ""Dedication"", ""Patience"", ""Loyalty"", ""Fair Play""]
    },
    {
      ""name"": ""RAVENCLAW"",
      ""values"": [""Intelligence"", ""Learning"", ""Wisdom"", ""Wit"", ""Creativity""]
    }
  ]
}
```"
Provide exactly two houses excluding Ravenclaw in alphabetical order separated by commas.,"Gryffindor, Hufflepuff
"
Provide exactly three houses excluding Hufflepuff in reverse alphabetical order separated by commas.,"Slytherin, Ravenclaw, Gryffindor
"
Provide exactly two houses sorted by length in lowercase.,"house
mansion
"
Provide exactly three houses sorted by length in uppercase.,"OK, here are three houses, sorted by the length of their names, in uppercase:

1.  HUT
2.  VILLA
3.  MANSION
"
Provide exactly two houses enclosed in square brackets separated by semicolons.,"[A cozy cottage with a thatched roof and a blooming garden];[A modern townhouse with floor-to-ceiling windows and a rooftop terrace]
"
Provide exactly three houses enclosed in parentheses separated by commas.,"(Victorian, Ranch, Modern)
"
Provide exactly two houses without punctuation in lowercase.,"redhouse bluehouse
"
Provide exactly three houses without punctuation in uppercase.,"TINYHOUSE
BEACHHOUSE
TREEHOUSE
"
Provide exactly two houses except Gryffindor in reverse alphabetical order.,"Slytherin
Ravenclaw
"
Provide exactly three houses except Slytherin in alphabetical order.,"1.  Gryffindor
2.  Hufflepuff
3.  Ravenclaw
"
Provide exactly two houses except Ravenclaw in snake_case.,"gryffindor, hufflepuff
"
Provide exactly three houses except Hufflepuff in camelCase.,"Here are three Hogwarts houses (excluding Hufflepuff) in camelCase:

1.  gryffindor
2.  slytherin
3.  ravenclaw
"
